Date and Time,Description,Reference No.,Debit,Credit,Balance
9/7/2025 8:49,Transfer from Others_Number to My_Number,6.03242E+12,,1000,1120.39
9/8/2025 9:30,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03245E+12,,5000,6120.39
9/8/2025 9:31,Payment to SHOPEE,206843903,5224,,896.39
9/9/2025 14:58,Payment to Lapakgaming PH,110378454,218.53,,677.86
9/10/2025 9:29,Buy Load Transaction for My_Number,310288903,61,,616.86
9/12/2025 9:00,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03258E+12,,1000,1616.86
9/12/2025 9:01,Payment to Grab Philippines,318699945,1203.25,,413.61
9/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P3A96D15CB",331272462,75,,338.61
9/17/2025 17:00,Buy Load Transaction for My_Number,334872456,61,,277.61
9/18/2025 12:47,Transfer from Others_Number to My_Number,32764546645,,55,332.61
9/18/2025 20:25,Transfer from Others_Number to My_Number,32779396400,,75,407.61
9/20/2025 18:07,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03284E+12,,1000,1407.61
9/20/2025 18:11,Payment to MLBB,147179845,157.47,,1250.14
9/20/2025 18:15,Payment to MLBB,844085424,319.2,,930.94
9/20/2025 18:16,Payment to MLBB,547110935,106.4,,824.54
9/20/2025 18:18,Payment to MLBB,947795311,10.64,,813.9
9/23/2025 11:30,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03292E+12,,4000,4813.9
9/23/2025 11:31,Transfer from My_Number to Others_Number,3.03292E+12,3800,,1013.9
9/24/2025 14:03,Payment to Smart GigaLife,676757629,149,,864.9
9/24/2025 16:32,Transfer from My_Number to Others_Number,3.03296E+12,89,,775.9
9/25/2025 14:11,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03298E+12,,2100,2875.9
9/25/2025 14:12,Transfer from My_Number to Others_Number,3.03298E+12,2050,,825.9
9/25/2025 20:32,Transfer from Others_Number to My_Number,32997818229,,55,880.9
9/26/2025 10:11,Payment to Steam,364198558,335,,545.9
9/28/2025 15:23,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03308E+12,,2000,2545.9
9/28/2025 15:29,Transfer from My_Number to Others_Number,3.03308E+12,1600,,945.9
9/30/2025 14:26,Transfer from My_Number to Others_Number,3.03315E+12,500,,445.9
10/1/2025 9:09,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03317E+12,,1000,1445.9
10/1/2025 9:11,Transfer from My_Number to Others_Number,3.03317E+12,1000,,445.9
10/2/2025 7:55,Transfer from My_Number to Others_Number,3.03323E+12,99,,346.9
10/4/2025 12:53,Transfer from My_Number to Others_Number,3.03328E+12,50,,296.9
10/8/2025 14:16,Buy Load Transaction for My_Number,302442360,61,,235.9
10/11/2025 16:26,Transfer from Others_Number to My_Number,33526627203,,40,275.9
10/11/2025 16:33,Transfer from My_Number to Others_Number,3.03353E+12,35,,240.9
10/13/2025 13:07,Transfer from My_Number to Others_Number,3.03357E+12,165,,75.9
10/13/2025 21:18,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03358E+12,,700,775.9
10/13/2025 21:21,Buy Load Transaction for My_Number,318163830,152,,623.9
10/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P3B87751AB",329295272,85,,538.9
10/22/2025 14:07,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03389E+12,,2000,2538.9
10/22/2025 14:08,Transfer from My_Number to Others_Number,3.03389E+12,1900,,638.9
10/22/2025 15:29,Transfer from Others_Number to My_Number,33897205026,,25,663.9
10/23/2025 14:03,Transfer from My_Number to Others_Number,3.03393E+12,118,,545.9
10/25/2025 10:54,Payment to Smart GigaLife,358225355,249,,296.9
11/2/2025 12:49,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03426E+12,,1000,1296.9
